"PLOT","SPCD","DIA","HT","Species"
"19223",95,3.7,27,"Black Spruce"
"2428",94,4.4,20,"White Spruce"
"2428",94,3.4,24,"White Spruce"
"2428",94,5.2,29,"White Spruce"
"2428",94,7.1,37,"White Spruce"
"2428",94,7.8,46,"White Spruce"
"2428",94,7.4,45,"White Spruce"
"55628",95,3.4,22,"Black Spruce"
"55628",95,3.9,22,"Black Spruce"
"53072",94,6.8,56,"White Spruce"
"53072",94,5.7,49,"White Spruce"
"53072",94,6.9,54,"White Spruce"
"21683",94,7,40,"White Spruce"
"21683",94,6.7,37,"White Spruce"
"21683",94,6.9,41,"White Spruce"
"37004",94,7.7,48,"White Spruce"
"37004",94,7.5,47,"White Spruce"
"37004",94,7.4,40,"White Spruce"
"44257",95,5.5,31,"Black Spruce"
"44257",95,7.9,39,"Black Spruce"
"44257",95,5,32,"Black Spruce"
"5439",94,5.8,31,"White Spruce"
"5439",94,4.9,31,"White Spruce"
"5439",94,5.7,28,"White Spruce"
"61580",94,10.1,44,"White Spruce"
"61580",94,8.8,46,"White Spruce"
"53615",95,5.4,34,"Black Spruce"
"53615",95,5.6,32,"Black Spruce"
"53615",95,6.1,38,"Black Spruce"
"50223",94,7.9,22,"White Spruce"
"50223",94,5,14,"White Spruce"
"50223",94,9.6,25,"White Spruce"
"7802",94,14.6,56,"White Spruce"
"7802",94,16.8,41,"White Spruce"
"7802",94,14.1,39,"White Spruce"
"51487",94,4.9,25,"White Spruce"
"51487",94,15.1,70,"White Spruce"
"51487",94,6.6,30,"White Spruce"
"39643",94,12.5,44,"White Spruce"
"39643",94,9.5,45,"White Spruce"
"39643",94,10.6,34,"White Spruce"
"25729",94,7.4,50,"White Spruce"
"25729",94,8.1,50,"White Spruce"
"25729",94,7.1,36,"White Spruce"
"12746",94,9,46,"White Spruce"
"12746",95,5.3,32,"Black Spruce"
"12746",95,7.1,36,"Black Spruce"
"12746",95,6.4,33,"Black Spruce"
"12746",94,7.1,49,"White Spruce"
"12746",94,9.5,50,"White Spruce"
"55773",264,9.5,45,"Mountain Hemlock"
"55773",264,10.5,43,"Mountain Hemlock"
"55773",264,11.7,50,"Mountain Hemlock"
"6665",94,6.9,49,"White Spruce"
"6665",94,12.2,60,"White Spruce"
"6665",94,8.4,45,"White Spruce"
"26157",264,4.6,18,"Mountain Hemlock"
"26157",264,5.4,22,"Mountain Hemlock"
"26157",264,5,17,"Mountain Hemlock"
"56201",95,4.1,25,"Black Spruce"
"56201",95,4.3,26,"Black Spruce"
"56201",95,4.6,25,"Black Spruce"
"31034",94,12,54,"White Spruce"
"8434",94,8.8,57,"White Spruce"
"8434",94,6.9,43,"White Spruce"
"8434",94,6.1,39,"White Spruce"
"26822",95,7.2,43,"Black Spruce"
"26822",95,5.4,39,"Black Spruce"
"26822",95,7.1,40,"Black Spruce"
"6335",95,3.5,19,"Black Spruce"
"6335",95,3.9,21,"Black Spruce"
"6335",95,3,17,"Black Spruce"
"1490",94,4.2,26,"White Spruce"
"1490",94,6,45,"White Spruce"
"1490",94,5.2,31,"White Spruce"
"44888",94,6.5,33,"White Spruce"
"44888",94,6.7,38,"White Spruce"
"44888",94,6.8,38,"White Spruce"
"22702",95,3.5,20,"Black Spruce"
"22702",95,6.5,26,"Black Spruce"
"22702",95,4.7,28,"Black Spruce"
"34752",94,6,34,"White Spruce"
"34752",94,7.6,42,"White Spruce"
"34752",94,6.8,34,"White Spruce"
"10789",95,4.1,16,"Black Spruce"
"10789",95,3,17,"Black Spruce"
"10789",95,3.1,19,"Black Spruce"
"48097",94,6.2,31,"White Spruce"
"48097",94,7.5,43,"White Spruce"
"48097",94,5.8,28,"White Spruce"
"48800",94,6.6,30,"White Spruce"
"48800",94,4.9,20,"White Spruce"
