CN,PLT_CN,PREV_SIT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,METHOD,SITREE_EST,VALIDCD,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,AGECHKCD_RMRS,AGE_DETERMINATION_METHOD_PNWRS,CCLCD_RMRS,DAMAGE_AGENT_CD1_RMRS,DAMAGE_AGENT_CD2_RMRS,DAMAGE_AGENT_CD3_RMRS,SIBASE_AGE_PNWRS,SITETRCD_RMRS,SITE_AGE_TREE_STATUS_PNWRS,SITE_AGE_TREE_TYPE_PNWRS,SITE_TREE_METHOD_PNWRS,SITREE_EQU_NO_PNWRS,TREECLCD_RMRS,TREE_ACT_RMRS,YEAR_AGE_TAKEN,SIEQN_REF_CD,SITREE_FVS,SIBASE_FVS,SIEQN_REF_CD_FVS
720778702290487,547423670126144,,2019,2,1,122,2778,1,1,94.0,5.4,33,41,18,57,100,1,1,,1,2020-02-10 18:09:11,2024-09-17 13:16:07,3,5,,,,,,,100,,P,3,,16,,,,,36,50,TSHE02
720778703290487,547423670126144,,2019,2,1,122,2778,1,2,94.0,9.6,54,65,18,69,100,2,1,,1,2020-02-10 18:09:11,2024-09-17 13:16:07,3,5,,,,,,,100,,P,3,,16,,,,,49,50,TSHE02
720778704290487,547423670126144,,2019,2,1,122,2778,1,3,94.0,7.4,53,57,18,73,100,2,1,,1,2020-02-10 18:09:11,2024-09-17 13:16:07,3,5,,,,,,,100,,P,3,,16,,,,,50,50,TSHE02
720773331290487,547423706126144,,2019,2,1,261,8618,1,1,98.0,25.9,113,123,17,97,100,2,1,,1,2020-02-10 18:09:11,2024-09-17 13:16:07,3,5,,,,,,,100,,P,3,,9,,,,,71,50,PISI01
720773332290487,547423706126144,,2019,2,1,261,8618,1,2,98.0,30.5,123,120,17,107,100,2,1,,1,2020-02-10 18:09:11,2024-09-17 13:16:07,3,5,,,,,,,100,,P,3,,9,,,,,79,50,PISI01
720773333290487,547423706126144,,2019,2,1,261,8618,1,3,98.0,16.2,100,129,17,84,100,3,1,,1,2020-02-10 18:09:11,2024-09-17 13:16:07,3,5,,,,,,,100,,P,3,,9,,,,,61,50,PISI01
720763519290487,547423995126144,,2019,2,1,100,38117,1,1,264.0,17.1,66,141,24,53,100,3,1,,1,2020-02-10 18:09:12,2024-09-17 13:16:07,3,5,,,,,,,100,,P,3,,9,,,,,34,50,TSHE01
720763520290487,547423995126144,,2019,2,1,100,38117,1,2,264.0,14.5,65,143,24,52,100,3,1,,1,2020-02-10 18:09:12,2024-09-17 13:16:07,3,5,,,,,,,100,,P,3,,9,,,,,33,50,TSHE01
720763521290487,547423995126144,,2019,2,1,100,38117,1,3,264.0,13.7,58,149,24,45,100,3,1,,1,2020-02-10 18:09:12,2024-09-17 13:16:07,3,5,,,,,,,100,,P,3,,9,,,,,29,50,TSHE01
720778795290487,547424072126144,,2019,2,1,122,61659,1,1,94.0,7.9,49,56,18,68,100,2,1,,1,2020-02-10 18:09:12,2024-09-17 13:16:07,3,5,,,,,,,100,,P,1,,16,,,,,47,50,TSHE02
